ts_ms,label
4000,blood
4000,blood
5500,blood
8000,violence
9000,blood
9000,blood
9500,violence
13500,violence
20500,blood
21000,violence
21000,violence
21500,violence
22000,violence
22000,violence
22000,violence
22500,violence
23000,violence
23500,violence
23500,violence
24000,violence
24000,violence
24500,violence
24500,violence
25000,violence
25000,violence
25500,violence
25500,violence
26500,violence
27000,violence
27500,violence
27500,violence
29000,violence
29500,violence
30000,violence
30500,blood
31000,violence
31500,violence
31500,violence
32500,violence
32500,violence
33000,violence
33500,violence
34000,violence
34500,violence
35000,violence
41000,violence
41500,violence
42500,blood
43500,violence
44000,violence
45500,violence
46000,alcohol
46000,blood
46500,violence
47000,violence
47000,violence
47500,violence
48000,violence
48500,violence
49000,violence
49500,violence
50000,violence
50500,violence
51000,violence
51500,violence
52000,violence
52500,violence
53000,violence
53500,violence
60000,violence
64000,blood
65000,blood
65500,blood
69000,blood
69500,blood
70000,blood
70000,blood
70500,blood
72500,blood
73000,violence
73500,alcohol
74000,violence
74500,violence
75000,violence
75500,violence
76000,violence
76500,violence
77000,violence
77500,violence
78000,blood
78000,violence
81500,alcohol
82000,alcohol
82500,alcohol
83500,alcohol
84000,alcohol
84000,blood
84500,alcohol
85000,alcohol
85500,alcohol
86000,alcohol
86500,alcohol
87000,alcohol
94000,blood
99500,violence
100000,violence
100500,violence
102000,violence
102500,violence
103000,violence
104000,violence
104500,violence
105000,alcohol
106500,violence
107000,alcohol
107500,alcohol
108000,alcohol
108500,violence
109000,violence
110000,blood
110500,blood
113500,blood
114000,blood
114500,blood
114500,blood
115500,blood
120500,blood
123500,blood
124000,blood
124500,blood
125000,blood
125000,blood
125000,violence
125500,blood
125500,blood
127500,blood
128000,blood
128500,blood
129000,blood
129000,blood
129000,blood
129500,blood
129500,blood
130000,blood
131000,blood
141000,blood
144000,violence
144500,blood
144500,violence
145000,violence
145500,blood
145500,violence
146000,blood
146000,blood
146000,violence
146500,blood
146500,blood
146500,violence
147000,violence
147500,violence
148000,blood
148000,violence
150500,blood
150500,violence
151000,blood
151000,violence
151500,blood
151500,violence
152000,blood
152000,violence
152500,blood
152500,blood
152500,violence
153500,blood
154500,blood
158000,violence
159000,blood
159500,blood
160000,blood
169000,blood
170500,violence
176500,blood
180000,violence
182500,violence
183000,violence
183500,violence
184000,violence
186000,violence
186500,violence
187000,violence
187500,violence
188000,violence
188500,violence
189000,blood
189000,violence
189500,violence
190000,violence
192000,alcohol
192000,violence
192000,violence
192500,blood
192500,violence
192500,violence
193000,violence
193000,violence
193500,violence
193500,violence
194000,violence
194000,violence
194500,violence
194500,violence
195500,violence
197000,violence
198000,violence
198500,violence
199000,violence
200000,violence
200500,violence
207000,violence
207500,violence
208000,violence
208500,violence
209000,violence
209500,violence
210000,violence
210500,violence
211000,blood
211000,violence
211000,violence
211500,blood
211500,violence
212000,blood
212000,violence
212500,blood
212500,violence
213000,violence
213500,violence
214000,violence
214500,violence
215000,violence
216000,violence
219500,blood
219500,blood
219500,violence
220000,blood
220000,blood
220000,violence
220500,blood
220500,blood
220500,violence
221000,blood
221000,blood
221500,violence
222000,blood
222000,violence
222500,violence
223000,blood
223000,violence
223500,violence
224000,violence
224000,violence
224500,violence
225000,violence
225500,violence
226000,violence
226500,violence
227000,violence
227500,violence
228000,violence
228000,violence
228500,violence
229000,violence
229500,violence
230000,violence
230500,violence
231000,blood
231000,violence
231500,violence
232000,violence
232500,violence
233000,violence
233500,violence
234000,violence
234500,violence
235000,blood
235000,violence
235500,violence
236000,violence
237000,blood
237000,violence
237500,blood
238000,blood
238000,violence
238000,violence
239000,blood
239500,blood
240000,violence
240500,blood
241500,violence
242500,violence
243000,violence
243500,violence
244000,violence
244500,violence
245000,violence
245500,violence
246000,blood
246000,violence
246500,violence
247000,violence
248000,violence
248500,blood
248500,violence
249000,violence
249000,violence
249500,violence
250000,violence
251000,blood
251000,violence
251000,violence
253000,blood
253500,violence
254500,violence
255000,violence
255500,violence
256000,blood
256000,violence
256500,violence
257500,violence
258000,violence
258500,blood
259000,blood
259500,violence
261000,violence
261500,violence
262500,blood
263000,violence
264000,violence
265000,violence
266000,violence
266000,violence
267500,violence
268000,violence
268500,violence
269000,violence
270000,violence
270500,violence
271000,violence
272000,alcohol
272000,violence
272500,violence
273000,violence
273500,violence
273500,violence
274000,violence
274500,violence
275000,violence
275500,violence
276000,violence
276500,violence
277000,violence
277000,violence
277500,violence
278000,violence
278500,violence
279000,violence
279500,violence
280000,violence
281000,violence
281500,violence
284500,violence
285500,violence
286500,violence
287000,violence
287000,violence
287500,violence
288000,violence
290500,alcohol
291000,violence
291500,violence
292000,blood
292000,violence
292500,blood
293000,violence
293500,violence
294000,violence
294500,violence
295000,violence
295500,violence
296000,violence
296500,violence
297000,violence
297500,violence
298500,alcohol
299500,alcohol
299500,violence
300500,violence
302500,violence
302500,violence
303500,violence
303500,violence
304000,violence
305000,blood
305000,violence
306500,violence
307500,violence
308000,violence
309000,violence
309000,violence
309500,violence
309500,violence
310000,violence
310500,alcohol
310500,violence
311000,violence
311500,violence
312000,violence
317000,blood
319500,alcohol
323000,blood
325500,blood
329000,violence
332000,violence
334000,blood
334000,blood
334000,violence
335500,violence
336000,violence
337000,violence
340500,violence
347000,violence
349500,blood
349500,violence
350000,blood
350000,violence
350500,violence
350500,violence
351000,violence
351000,violence
352500,blood
356500,violence
357000,violence
357500,violence
358000,violence
361000,violence
361500,violence
362000,violence
362500,blood
363500,violence
364500,violence
369000,blood
371000,blood
371500,blood
372000,blood
372500,violence
373500,violence
374500,alcohol
381000,blood
382000,alcohol
382000,blood
386000,blood
389000,alcohol
389500,blood
390000,blood
390500,violence
394000,blood
394500,blood
395000,blood
395000,blood
395500,blood
395500,blood
397000,blood
397500,blood
398000,blood
398500,blood
399000,blood
399500,blood
400000,blood
401000,blood
401500,blood
402500,blood
403000,blood
403000,violence
403500,blood
403500,blood
404000,blood
404500,blood
404500,blood
405000,blood
405000,blood
405500,blood
406000,blood
406000,blood
406500,blood
406500,violence
407000,blood
407500,blood
407500,violence
408000,blood
408500,blood
409000,blood
410000,violence
410500,blood
411500,blood
412000,violence
412500,blood
413000,violence
416000,violence
416500,violence
417500,violence
418000,violence
418500,violence
419000,violence
419500,violence
420000,violence
421000,blood
421500,violence
422000,violence
427000,violence
427500,violence
427500,violence
428000,violence
428500,blood
428500,violence
429500,blood
429500,violence
430000,blood
430000,blood
430000,violence
431500,violence
432000,violence
432500,violence
434500,blood
435000,blood
437000,violence
438000,violence
438500,violence
440500,blood
441000,blood
441000,violence
441500,violence
442000,blood
442000,violence
442500,violence
442500,violence
453500,violence
454000,alcohol
458500,blood
460000,blood
464500,violence
469500,violence
471500,alcohol
472000,violence
472500,blood
475000,alcohol
475500,blood
475500,violence
476000,violence
476500,violence
477000,violence
477500,alcohol
477500,violence
478000,alcohol
478000,blood
478000,violence
478500,alcohol
479000,violence
479500,violence
480000,violence
481500,blood
483000,violence
487000,violence
490000,alcohol
491500,blood
491500,violence
492000,alcohol
501500,blood
502000,blood
504500,blood
505500,violence
507500,blood
507500,violence
508000,blood
509000,violence
510000,violence
510500,blood
511000,blood
512000,violence
513000,blood
513500,violence
513500,violence
515500,blood
515500,violence
517500,blood
518000,blood
518000,blood
518000,violence
519500,blood
520500,blood
520500,violence
521000,blood
521000,violence
521500,blood
522000,violence
523000,blood
523000,violence
524000,blood
524000,blood
524000,violence
524500,violence
525000,violence
525500,violence
526000,violence
532500,alcohol
532500,blood
532500,blood
532500,violence
533000,blood
533000,blood
533500,alcohol
533500,blood
533500,blood
539000,blood
547000,violence
547500,violence
550500,violence
551000,violence
552000,blood
552500,blood
553000,blood
553500,violence
555000,blood
555500,blood
555500,blood
556000,violence
556500,violence
557000,blood
557500,blood
558500,blood
558500,violence
559000,blood
559500,blood
560000,blood
560500,blood
560500,violence
561000,blood
561000,blood
561000,violence
561500,violence
563000,alcohol
565500,violence
566000,violence
566500,violence
567500,blood
578500,blood
578500,blood
579000,violence
580500,alcohol
580500,blood
581000,alcohol
581500,alcohol
582000,violence
586500,violence
587000,violence
589000,blood
593000,violence
594000,violence
595000,blood
595500,violence
597500,blood
599500,violence
613500,violence
614000,blood
614500,blood
614500,blood
623500,violence
626500,blood
627000,blood
627500,blood
628500,blood
631000,violence
637500,violence
638000,blood
638000,violence
638500,violence
639000,blood
641000,violence
641500,violence
642000,violence
642500,violence
643000,blood
643000,violence
643500,violence
644000,blood
644000,violence
644500,violence
645000,violence
645000,violence
645500,violence
646000,violence
646500,blood
647500,blood
648000,blood
648500,blood
648500,violence
648500,violence
650000,blood
657500,blood
657500,violence
659000,blood
659000,violence
661500,blood
