second,label,count
4,blood,5
5,blood,5
8,violence,5
9,blood,5
9,violence,5
13,violence,5
20,blood,5
21,violence,24
22,violence,24
23,violence,24
24,violence,24
25,violence,17
26,violence,12
27,violence,17
29,violence,24
30,blood,5
30,violence,5
31,violence,17
32,violence,12
33,violence,24
34,violence,24
35,violence,4
41,violence,16
42,blood,5
43,violence,12
44,violence,5
45,violence,5
46,alcohol,5
46,blood,5
46,violence,12
47,violence,24
48,violence,24
49,violence,24
50,violence,24
51,violence,24
52,violence,24
53,violence,17
60,violence,5
64,blood,5
65,blood,17
69,blood,24
70,blood,17
72,blood,5
73,alcohol,5
73,violence,5
74,violence,24
75,violence,24
76,violence,24
77,violence,24
78,blood,4
78,violence,4
81,alcohol,12
82,alcohol,16
83,alcohol,12
84,alcohol,24
84,blood,5
85,alcohol,24
86,alcohol,24
87,alcohol,5
94,blood,5
99,violence,12
100,violence,17
102,violence,24
103,violence,5
104,violence,17
105,alcohol,5
106,violence,5
107,alcohol,24
108,alcohol,5
108,violence,12
109,violence,5
110,blood,17
113,blood,12
114,blood,17
115,blood,5
120,blood,4
123,blood,12
124,blood,23
125,blood,17
125,violence,5
127,blood,12
128,blood,24
129,blood,24
130,blood,5
131,blood,5
141,blood,5
144,blood,5
144,violence,24
145,blood,12
145,violence,24
146,blood,17
146,violence,24
147,violence,24
148,blood,5
148,violence,5
150,blood,12
150,violence,12
151,blood,24
151,violence,24
152,blood,17
152,violence,17
153,blood,5
154,blood,5
158,violence,5
159,blood,24
160,blood,4
169,blood,5
170,violence,5
176,blood,5
180,violence,5
182,violence,12
183,violence,24
184,violence,5
186,violence,24
187,violence,24
188,violence,24
189,blood,5
189,violence,24
190,violence,5
192,alcohol,5
192,blood,5
192,violence,24
193,violence,24
194,violence,17
195,violence,5
197,violence,5
198,violence,24
199,violence,5
200,violence,17
207,violence,24
208,violence,23
209,violence,24
210,violence,24
211,blood,24
211,violence,24
212,blood,17
212,violence,24
213,violence,24
214,violence,24
215,violence,5
216,violence,5
219,blood,12
219,violence,12
220,blood,24
220,violence,17
221,blood,5
221,violence,12
222,blood,5
222,violence,24
223,blood,5
223,violence,24
224,violence,24
225,violence,24
226,violence,24
227,violence,24
228,violence,24
229,violence,24
230,violence,24
231,blood,5
231,violence,24
232,violence,24
233,violence,24
234,violence,24
235,blood,5
235,violence,24
236,violence,5
237,blood,24
237,violence,5
238,blood,5
238,violence,5
239,blood,17
240,blood,5
240,violence,5
241,violence,5
242,violence,12
243,violence,24
244,violence,24
245,violence,24
246,blood,4
246,violence,24
247,violence,4
248,blood,4
248,violence,24
249,violence,23
250,violence,5
251,blood,5
251,violence,5
253,blood,5
253,violence,5
254,violence,12
255,violence,24
256,blood,5
256,violence,17
257,violence,12
258,blood,12
258,violence,5
259,blood,5
259,violence,5
261,violence,17
262,blood,5
263,violence,5
264,violence,5
265,violence,5
266,violence,5
267,violence,12
268,violence,24
269,violence,5
270,violence,24
271,violence,5
272,alcohol,5
272,violence,24
273,violence,24
274,violence,24
275,violence,24
276,violence,24
277,violence,24
278,violence,24
279,violence,24
280,violence,5
281,violence,17
284,violence,4
285,violence,4
286,violence,12
287,violence,24
288,violence,4
290,alcohol,4
291,violence,23
292,blood,17
292,violence,5
293,violence,24
294,violence,24
295,violence,24
296,violence,24
297,violence,17
298,alcohol,5
299,alcohol,5
299,violence,5
300,violence,5
302,violence,5
303,violence,12
304,violence,5
305,blood,5
305,violence,5
306,violence,5
307,violence,12
308,violence,5
309,violence,24
310,alcohol,5
310,violence,24
311,violence,24
312,violence,5
317,blood,5
319,alcohol,5
323,blood,5
325,blood,5
329,violence,4
332,violence,4
334,blood,5
334,violence,5
335,violence,12
336,violence,5
337,violence,5
340,violence,5
347,violence,5
349,blood,12
349,violence,12
350,blood,5
350,violence,24
351,violence,5
352,blood,5
356,violence,12
357,violence,24
358,violence,5
361,violence,24
362,blood,5
362,violence,5
363,violence,5
364,violence,5
369,blood,4
371,blood,24
372,blood,4
372,violence,4
373,violence,4
374,alcohol,4
381,blood,5
382,alcohol,5
382,blood,5
386,blood,5
389,alcohol,5
389,blood,12
390,blood,5
390,violence,5
394,blood,24
395,blood,17
397,blood,24
398,blood,24
399,blood,24
400,blood,5
401,blood,17
402,blood,12
403,blood,24
403,violence,5
404,blood,24
405,blood,24
406,blood,24
406,violence,5
407,blood,24
407,violence,5
408,blood,24
409,blood,5
410,blood,4
410,violence,4
411,blood,4
412,blood,4
412,violence,4
413,violence,4
416,violence,16
417,violence,12
418,violence,24
419,violence,24
420,violence,5
421,blood,5
421,violence,12
422,violence,5
427,violence,24
428,blood,5
428,violence,17
429,blood,12
429,violence,12
430,blood,5
430,violence,5
431,violence,12
432,violence,17
434,blood,12
435,blood,5
437,violence,5
438,violence,17
440,blood,12
441,blood,5
441,violence,24
442,blood,5
442,violence,17
453,violence,4
454,alcohol,4
458,blood,5
460,blood,5
464,violence,5
469,violence,5
471,alcohol,5
472,blood,5
472,violence,5
475,alcohol,5
475,blood,5
475,violence,12
476,violence,24
477,alcohol,12
477,violence,24
478,alcohol,17
478,blood,5
478,violence,5
479,violence,24
480,violence,5
481,blood,5
483,violence,5
487,violence,5
490,alcohol,5
491,blood,5
491,violence,5
492,alcohol,5
501,blood,12
502,blood,5
504,blood,5
505,violence,5
507,blood,12
507,violence,5
508,blood,5
509,violence,5
510,blood,12
510,violence,5
511,blood,5
512,violence,5
513,blood,5
513,violence,5
515,blood,5
515,violence,5
517,blood,12
518,blood,5
518,violence,5
519,blood,5
520,blood,12
520,violence,12
521,blood,17
521,violence,5
522,violence,5
523,blood,5
523,violence,5
524,blood,5
524,violence,24
525,violence,24
526,violence,5
532,alcohol,5
532,blood,12
532,violence,5
533,alcohol,5
533,blood,17
539,blood,4
547,violence,17
550,violence,12
551,violence,5
552,blood,24
553,blood,5
553,violence,5
555,blood,17
556,violence,17
557,blood,17
558,blood,12
558,violence,5
559,blood,24
560,blood,24
560,violence,12
561,blood,5
561,violence,17
563,alcohol,5
565,violence,12
566,violence,17
567,blood,5
578,blood,4
579,violence,4
580,alcohol,12
580,blood,4
581,alcohol,16
582,violence,4
586,violence,12
587,violence,5
589,blood,5
593,violence,5
594,violence,5
595,blood,5
595,violence,5
597,blood,5
599,violence,5
613,violence,5
614,blood,17
623,violence,4
626,blood,12
627,blood,17
628,blood,5
631,violence,5
637,violence,12
638,blood,5
638,violence,17
639,blood,5
641,violence,24
642,violence,24
643,blood,5
643,violence,24
644,blood,5
644,violence,24
645,violence,24
646,blood,5
646,violence,5
647,blood,12
648,blood,17
648,violence,5
650,blood,5
657,blood,5
657,violence,5
659,blood,5
659,violence,5
661,blood,4
