label,start_ms,end_ms,duration_ms,n_keyframes
blood,4000,4200,200,1
blood,9000,9200,200,2
violence,9500,9700,200,1
violence,13500,13700,200,1
blood,20500,20700,200,1
violence,21000,25700,4700,15
violence,27000,27700,700,2
violence,29000,29200,200,1
blood,30500,30700,200,1
violence,31500,31700,200,1
violence,32500,32700,200,2
violence,34000,34700,700,2
violence,41000,41200,200,1
violence,43500,44200,700,2
violence,45500,45700,200,1
alcohol,46000,46200,200,1
blood,46000,46200,200,1
violence,47000,53700,6700,15
blood,65000,65700,700,2
blood,69000,70700,1700,4
blood,72500,72700,200,1
violence,74500,74700,200,1
violence,75500,75700,200,1
violence,78000,78200,200,1
alcohol,81500,82700,1200,3
alcohol,83500,87200,3700,8
violence,99500,100200,700,2
violence,102000,103200,1200,3
violence,104000,104700,700,2
violence,106500,106700,200,1
alcohol,107000,107700,700,2
violence,108500,109200,700,2
blood,110000,110700,700,2
blood,113500,114700,1200,3
blood,124000,125700,1700,4
violence,125000,125200,200,1
blood,128000,129700,1700,5
blood,131000,131200,200,1
violence,144000,144700,700,2
blood,144500,144700,200,1
blood,146000,146200,200,1
violence,146000,148200,2200,5
blood,150500,150700,200,1
violence,150500,152700,2200,5
blood,152500,152700,200,1
blood,154500,154700,200,1
violence,158000,158200,200,1
blood,159500,159700,200,1
blood,176500,176700,200,1
violence,182500,184200,1700,4
violence,186000,188200,2200,5
blood,189000,189200,200,1
violence,189000,189700,700,2
violence,192000,194700,2700,12
violence,195500,195700,200,1
violence,197000,197200,200,1
violence,198500,199200,700,2
violence,200000,200700,700,2
violence,207000,215200,8200,17
blood,211000,212700,1700,4
violence,216000,216200,200,1
blood,219500,221200,1700,6
violence,220000,220700,700,2
violence,221500,232200,10700,23
blood,222000,222200,200,1
blood,231000,231200,200,1
violence,233000,235200,2200,5
violence,236000,236200,200,1
blood,237500,238200,700,2
violence,238000,238200,200,1
blood,239500,239700,200,1
blood,240500,240700,200,1
violence,241500,241700,200,1
violence,242500,247200,4700,10
blood,246000,246200,200,1
violence,248000,249200,1200,3
blood,248500,248700,200,1
violence,251000,251200,200,1
blood,253000,253200,200,1
violence,253500,253700,200,1
violence,254500,254700,200,1
violence,256000,256200,200,1
blood,258500,259200,700,2
violence,259500,259700,200,1
violence,261000,261700,700,2
blood,262500,262700,200,1
violence,266000,266200,200,2
violence,267500,269200,1700,4
violence,270000,271200,1200,3
violence,272000,276200,4200,10
violence,277000,277200,200,2
violence,278000,280200,2200,5
violence,281500,281700,200,1
violence,287000,288200,1200,4
violence,291000,292200,1200,3
blood,292000,292700,700,2
violence,293000,294700,1700,4
violence,295500,297700,2200,5
violence,299500,299700,200,1
violence,300500,300700,200,1
violence,302500,302700,200,2
violence,303500,304200,700,3
violence,305000,305200,200,1
violence,306500,306700,200,1
violence,307500,308200,700,2
violence,309000,312200,3200,9
alcohol,310500,310700,200,1
alcohol,319500,319700,200,1
