second,label,count
6,blood,24
7,blood,24
8,blood,24
9,blood,24
10,blood,24
11,blood,24
12,blood,24
12,violence,5
13,blood,24
14,blood,24
14,violence,24
15,blood,17
15,violence,5
31,spider,24
32,spider,24
33,spider,24
34,spider,24
35,blood,4
35,spider,24
36,spider,24
37,blood,4
37,spider,24
38,blood,4
38,clown,4
38,spider,24
39,spider,16
44,BUTTOCKS_COVERED,5
49,spider,17
54,blood,17
55,BUTTOCKS_COVERED,5
55,blood,5
59,blood,24
60,blood,17
63,blood,5
70,blood,12
71,blood,5
72,blood,24
73,blood,5
74,blood,5
75,violence,12
76,violence,16
77,ARMPITS_EXPOSED,4
78,ARMPITS_EXPOSED,4
79,blood,24
80,blood,24
81,blood,4
82,ARMPITS_EXPOSED,4
83,blood,17
84,clown,5
85,BELLY_EXPOSED,12
86,BELLY_EXPOSED,17
92,clown,24
93,clown,24
94,clown,5
97,clown,5
100,blood,5
100,clown,17
107,blood,5
110,FEMALE_BREAST_COVERED,5
110,clown,17
111,item,24
112,blood,5
112,item,24
113,blood,5
113,item,17
115,FEMALE_BREAST_COVERED,12
115,item,5
116,FEMALE_BREAST_COVERED,24
117,FEMALE_BREAST_COVERED,24
118,FEMALE_BREAST_COVERED,16
118,clown,4
119,blood,24
120,blood,16
120,clown,16
122,blood,4
124,blood,11
125,ARMPITS_EXPOSED,17
125,blood,17
126,ARMPITS_EXPOSED,5
128,blood,12
129,blood,17
129,clown,5
132,clown,5
136,clown,5
138,clown,5
139,blood,5
140,item,5
141,item,5
143,blood,12
143,item,12
144,blood,24
144,item,24
145,blood,24
145,item,24
146,blood,17
146,item,17
148,blood,5
149,item,5
154,blood,5
163,clown,4
165,blood,16
166,item,23
167,blood,5
167,item,5
168,blood,5
170,blood,24
170,item,24
171,blood,24
171,item,24
172,blood,24
172,item,24
173,blood,5
173,clown,5
173,item,24
174,item,5
175,blood,5
175,item,12
176,blood,5
176,item,24
177,item,5
178,blood,5
180,clown,5
181,clown,5
187,clown,5
189,clown,12
190,clown,17
191,clown,12
192,clown,5
199,clown,24
200,clown,5
201,clown,4
211,clown,5
212,violence,5
213,blood,12
213,clown,5
214,blood,5
216,blood,12
216,item,12
217,blood,24
217,item,24
218,blood,24
218,item,24
219,blood,5
219,item,5
223,clown,12
224,clown,24
225,clown,24
226,clown,5
232,blood,5
233,clown,5
235,clown,5
236,clown,5
240,clown,12
241,clown,24
242,clown,5
250,blood,12
250,item,12
251,blood,24
251,item,24
252,blood,24
252,item,24
253,blood,5
253,item,5
254,blood,5
256,clown,12
257,clown,24
258,clown,24
259,clown,5
260,blood,5
262,clown,17
268,clown,24
269,clown,5
272,clown,5
283,clown,12
284,clown,24
285,clown,4
295,clown,5
300,blood,5
302,blood,5
304,clown,5
308,blood,24
309,blood,24
310,blood,24
311,blood,24
312,blood,24
312,item,24
313,blood,24
313,item,24
314,blood,24
314,item,17
315,blood,24
316,blood,24
317,blood,24
318,blood,24
319,blood,24
320,blood,24
321,blood,24
322,blood,17
327,clown,4
328,clown,4
329,blood,4
331,blood,4
339,clown,5
340,clown,5
365,blood,5
369,clown,4
371,clown,4
375,clown,12
376,blood,5
376,clown,5
377,clown,17
379,clown,5
400,clown,12
401,clown,5
402,clown,5
403,clown,12
404,clown,5
412,clown,12
413,clown,4
414,clown,24
415,clown,24
416,clown,16
417,clown,5
420,clown,5
421,clown,5
422,clown,24
423,clown,5
433,clown,12
434,clown,24
435,clown,24
436,clown,24
437,clown,5
438,clown,12
439,clown,5
440,clown,24
441,clown,5
442,clown,5
450,clown,24
451,clown,16
457,clown,4
460,item,12
461,item,24
462,blood,24
462,item,24
463,blood,24
463,item,24
464,blood,24
464,item,24
465,blood,24
465,item,24
466,blood,5
466,clown,5
466,item,5
467,clown,12
468,clown,24
469,clown,24
470,clown,5
472,clown,5
473,clown,24
474,clown,24
475,clown,5
475,item,12
476,item,24
477,blood,5
477,item,17
478,blood,24
479,blood,24
480,blood,24
481,blood,24
482,blood,24
483,blood,24
484,blood,24
485,blood,24
486,blood,5
490,blood,5
509,blood,5
510,blood,12
511,blood,24
512,blood,24
513,blood,5
