label,start_ms,end_ms,duration_ms,n_keyframes
blood,6000,15700,9700,20
violence,12500,12700,200,1
violence,14000,15200,1200,3
spider,31000,39700,8700,18
blood,35500,35700,200,1
blood,37000,37200,200,1
blood,38500,38700,200,1
clown,38500,38700,200,1
BUTTOCKS_COVERED,44500,44700,200,1
spider,49000,49700,700,2
blood,54000,54700,700,2
BUTTOCKS_COVERED,55000,55200,200,1
blood,55500,55700,200,2
blood,59000,60700,1700,4
blood,63500,63700,200,1
blood,70500,71200,700,3
blood,72000,73200,1200,3
blood,74000,74200,200,1
violence,75500,76700,1200,3
ARMPITS_EXPOSED,77500,77700,200,1
ARMPITS_EXPOSED,78500,78700,200,1
blood,79000,81200,2200,7
ARMPITS_EXPOSED,82500,82700,200,1
blood,83000,83700,700,2
clown,84500,84700,200,1
BELLY_EXPOSED,85500,86700,1200,3
clown,92000,94200,2200,5
clown,97000,97200,200,1
clown,100000,100700,700,2
blood,100500,100700,200,1
blood,107500,107700,200,1
clown,110000,110700,700,2
FEMALE_BREAST_COVERED,110500,110700,200,1
item,111000,113700,2700,6
blood,112000,112200,200,1
blood,113000,113200,200,1
item,115000,115200,200,1
FEMALE_BREAST_COVERED,115500,118700,3200,7
clown,118000,118200,200,1
blood,119000,120700,1700,6
clown,120000,120700,700,2
blood,122000,122200,200,2
blood,124500,125700,1200,3
ARMPITS_EXPOSED,125000,125700,700,2
ARMPITS_EXPOSED,126500,126700,200,1
blood,128500,129700,1200,3
clown,129500,129700,200,1
clown,132500,132700,200,1
clown,136000,136200,200,1
clown,138500,138700,200,1
blood,139500,139700,200,1
item,140500,140700,200,1
item,141500,141700,200,1
blood,143500,146700,3200,14
item,143500,146700,3200,7
blood,148500,148700,200,1
item,149500,149700,200,1
blood,154000,154200,200,1
clown,163500,163700,200,1
blood,165000,165700,700,2
item,166000,167200,1200,3
blood,167000,167200,200,1
blood,168500,168700,200,1
blood,170000,173200,3200,7
item,170000,174200,4200,9
clown,173000,173200,200,1
blood,175000,175200,200,1
item,175500,177200,1700,4
blood,176500,176700,200,1
blood,178500,178700,200,1
clown,180000,180200,200,1
clown,181500,181700,200,1
clown,187000,187200,200,1
clown,189500,190700,1200,3
clown,191500,192200,700,2
clown,199000,200200,1200,3
clown,201000,201200,200,1
clown,211000,211200,200,1
violence,212500,212700,200,1
clown,213000,213200,200,1
blood,213500,214200,700,2
blood,216500,219200,2700,6
item,216500,219200,2700,6
clown,223500,226200,2700,6
blood,232000,232200,200,1
clown,233500,233700,200,1
clown,235000,235200,200,1
clown,236500,236700,200,1
clown,240500,242200,1700,4
blood,250500,253200,2700,8
item,250500,253200,2700,12
blood,254000,254200,200,1
clown,256500,259200,2700,6
blood,260000,260200,200,2
clown,262000,262700,700,2
clown,268000,269200,1200,3
clown,272000,272200,200,1
clown,283500,285200,1700,4
clown,295000,295200,200,1
blood,300000,300200,200,1
blood,302000,302200,200,1
clown,304000,304200,200,1
blood,308000,322700,14700,33
item,312000,314700,2700,6
clown,327500,327700,200,1
clown,328500,328700,200,1
blood,329000,329200,200,1
blood,331500,331700,200,1
clown,339500,339700,200,1
clown,340500,340700,200,1
blood,365000,365200,200,1
clown,369000,369200,200,1
clown,371500,371700,200,1
clown,375500,376200,700,2
blood,376000,376200,200,1
clown,377000,377700,700,2
clown,379500,379700,200,1
clown,400500,401200,700,2
clown,402000,402200,200,1
clown,403500,404200,700,2
clown,412500,413200,700,2
clown,414000,416700,2700,6
clown,417500,417700,200,1
clown,420000,420200,200,1
clown,421000,421200,200,1
clown,422000,423200,1200,3
clown,433500,437200,3700,8
clown,438500,439200,700,2
clown,440000,441200,1200,3
clown,442500,442700,200,1
clown,450000,451700,1700,4
clown,457500,457700,200,1
item,460500,466200,5700,12
blood,462000,466200,4200,13
clown,466500,466700,200,1
clown,467500,470200,2700,6
clown,472000,472200,200,1
clown,473000,475200,2200,5
item,475500,477700,2200,5
blood,477000,477200,200,1
blood,478000,486200,8200,34
blood,490000,490200,200,1
blood,509500,509700,200,1
blood,510500,513200,2700,8
