ts_ms,label
3500,phobic
4000,phobic
6000,blood
6500,blood
7000,blood
7500,blood
8000,blood
8500,blood
9000,blood
9500,blood
10000,blood
10500,blood
11000,blood
11500,blood
12000,blood
12500,blood
12500,violence
13000,blood
13500,blood
14000,blood
14000,violence
14500,blood
14500,violence
15000,blood
15000,violence
15500,blood
24000,obscene
26000,obscene
35500,blood
37000,blood
38000,phobic
38500,blood
39500,obscene
40000,obscene
40500,obscene
41000,obscene
41500,obscene
42000,obscene
42500,obscene
43000,obscene
44500,obscene
54000,blood
54500,blood
55000,obscene
55500,blood
55500,blood
55500,obscene
57500,obscene
58000,obscene
58500,obscene
58500,obscene
59000,blood
59500,blood
60000,blood
60500,blood
63500,blood
68500,obscene
70500,blood
70500,obscene
71000,blood
71000,blood
72000,blood
72500,blood
73000,blood
74000,blood
75500,violence
76000,violence
76500,obscene
76500,violence
77000,obscene
77500,obscene
77500,obscene
78000,obscene
78500,obscene
78500,obscene
79000,blood
79500,blood
80000,blood
80000,blood
80500,blood
81000,blood
81000,blood
81500,obscene
82500,obscene
82500,obscene
83000,blood
83000,obscene
83500,blood
83500,obscene
84000,obscene
84500,obscene
85000,obscene
85500,obscene
85500,obscene
86000,obscene
86000,obscene
86500,obscene
86500,obscene
87000,obscene
87500,obscene
88000,obscene
88500,obscene
89000,obscene
89500,obscene
90000,obscene
90500,obscene
91000,obscene
91500,obscene
91500,phobic
92000,obscene
92500,obscene
93000,obscene
93500,obscene
94000,obscene
94500,obscene
94500,phobic
95000,obscene
95000,phobic
95500,obscene
95500,phobic
96000,obscene
96000,phobic
96500,obscene
96500,phobic
97000,obscene
97500,obscene
98000,obscene
98500,obscene
99000,obscene
99000,obscene
99500,obscene
99500,obscene
100000,obscene
100500,blood
100500,obscene
100500,obscene
101000,obscene
101500,obscene
102000,obscene
102500,obscene
103000,obscene
103500,obscene
104000,obscene
104500,obscene
105000,obscene
105500,obscene
105500,obscene
106000,obscene
106000,obscene
106500,obscene
106500,obscene
107500,blood
110000,obscene
110500,obscene
110500,obscene
111000,alcohol
111500,alcohol
112000,alcohol
112000,blood
112500,alcohol
113000,alcohol
113000,blood
113500,alcohol
115000,alcohol
115500,obscene
115500,obscene
116000,obscene
116000,obscene
116500,obscene
116500,obscene
117000,obscene
117000,obscene
117500,obscene
117500,obscene
118000,obscene
118000,obscene
118000,phobic
118500,obscene
118500,obscene
119000,blood
119000,obscene
119000,obscene
119500,blood
119500,blood
119500,obscene
120000,blood
120000,blood
120000,obscene
120500,blood
120500,obscene
121000,obscene
121000,obscene
122000,blood
122000,blood
124500,blood
125000,blood
125000,obscene
125500,blood
125500,obscene
126500,obscene
127000,phobic
