second,label,count
3,phobic,12
4,phobic,5
6,blood,24
7,blood,24
8,blood,24
9,blood,24
10,blood,24
11,blood,24
12,blood,24
12,violence,5
13,blood,24
14,blood,24
14,violence,24
15,blood,17
15,violence,5
24,obscene,5
26,obscene,5
35,blood,4
37,blood,4
38,blood,4
38,phobic,4
39,obscene,12
40,obscene,24
41,obscene,23
42,obscene,24
43,obscene,5
44,obscene,5
54,blood,17
55,blood,5
55,obscene,17
57,obscene,12
58,obscene,17
59,blood,24
60,blood,17
63,blood,5
68,obscene,5
70,blood,12
70,obscene,5
71,blood,5
72,blood,24
73,blood,5
74,blood,5
75,violence,12
76,obscene,12
76,violence,16
77,obscene,24
78,obscene,16
79,blood,24
80,blood,24
81,blood,4
81,obscene,4
82,obscene,11
83,blood,17
83,obscene,24
84,obscene,24
85,obscene,24
86,obscene,24
87,obscene,24
88,obscene,24
89,obscene,24
90,obscene,24
91,obscene,24
91,phobic,5
92,obscene,24
93,obscene,24
94,obscene,24
94,phobic,12
95,obscene,24
95,phobic,24
96,obscene,24
96,phobic,17
97,obscene,24
98,obscene,24
99,obscene,24
100,blood,5
100,obscene,24
101,obscene,24
102,obscene,24
103,obscene,24
104,obscene,24
105,obscene,24
106,obscene,17
107,blood,5
110,obscene,17
111,alcohol,24
112,alcohol,24
112,blood,5
113,alcohol,17
113,blood,5
115,alcohol,5
115,obscene,12
116,obscene,24
117,obscene,24
118,obscene,24
118,phobic,4
119,blood,24
119,obscene,24
120,blood,16
120,obscene,24
121,obscene,4
122,blood,4
124,blood,11
125,blood,17
125,obscene,17
126,obscene,5
127,phobic,17
128,blood,12
129,blood,17
129,obscene,5
130,obscene,5
133,obscene,5
135,phobic,5
136,obscene,24
137,obscene,24
138,obscene,24
139,blood,5
139,obscene,5
140,alcohol,5
141,alcohol,5
141,obscene,12
142,obscene,24
143,alcohol,12
143,blood,12
143,obscene,24
144,alcohol,24
144,blood,24
144,obscene,17
145,alcohol,24
145,blood,24
145,obscene,12
145,phobic,5
146,alcohol,17
146,blood,17
146,obscene,24
147,obscene,24
147,phobic,24
148,blood,5
148,obscene,24
148,phobic,5
149,alcohol,5
149,obscene,24
149,phobic,12
150,obscene,24
150,phobic,24
151,obscene,24
151,phobic,24
