label,start_ms,end_ms,duration_ms,n_keyframes
phobic,3500,4200,700,2
blood,6000,15700,9700,20
violence,12500,12700,200,1
violence,14000,15200,1200,3
obscene,24000,24200,200,1
obscene,26000,26200,200,1
blood,35500,35700,200,1
blood,37000,37200,200,1
phobic,38000,38200,200,1
blood,38500,38700,200,1
obscene,39500,43200,3700,8
obscene,44500,44700,200,1
blood,54000,54700,700,2
obscene,55000,55700,700,2
blood,55500,55700,200,2
obscene,57500,58700,1200,4
blood,59000,60700,1700,4
blood,63500,63700,200,1
obscene,68500,68700,200,1
blood,70500,71200,700,3
obscene,70500,70700,200,1
blood,72000,73200,1200,3
blood,74000,74200,200,1
violence,75500,76700,1200,3
obscene,76500,78700,2200,7
blood,79000,81200,2200,7
obscene,81500,81700,200,1
obscene,82500,106700,24200,59
blood,83000,83700,700,2
phobic,91500,91700,200,1
phobic,94500,96700,2200,5
blood,100500,100700,200,1
blood,107500,107700,200,1
obscene,110000,110700,700,3
alcohol,111000,113700,2700,6
blood,112000,112200,200,1
blood,113000,113200,200,1
alcohol,115000,115200,200,1
obscene,115500,121200,5700,21
phobic,118000,118200,200,1
blood,119000,120700,1700,6
blood,122000,122200,200,2
blood,124500,125700,1200,3
obscene,125000,125700,700,2
obscene,126500,126700,200,1
phobic,127000,127700,700,2
blood,128500,129700,1200,3
obscene,129000,129200,200,1
obscene,130500,130700,200,1
obscene,133000,133200,200,1
phobic,135500,135700,200,1
obscene,136000,139200,3200,10
blood,139500,139700,200,1
alcohol,140500,140700,200,1
alcohol,141500,141700,200,1
obscene,141500,144700,3200,10
alcohol,143500,146700,3200,7
blood,143500,146700,3200,14
obscene,145500,158200,12700,27
phobic,145500,145700,200,1
phobic,147000,148200,1200,3
blood,148500,148700,200,1
alcohol,149500,149700,200,1
phobic,149500,158700,9200,19
blood,154000,154200,200,1
obscene,159000,183200,24200,50
phobic,160000,160700,700,2
phobic,162000,162200,200,1
phobic,163000,166200,3200,7
blood,165000,165700,700,2
alcohol,166000,167200,1200,3
blood,167000,167200,200,1
phobic,167000,167200,200,1
phobic,168000,169700,1700,4
blood,168500,168700,200,1
alcohol,170000,174200,4200,9
blood,170000,173200,3200,7
phobic,171000,172200,1200,3
phobic,174500,175700,1200,3
blood,175000,175200,200,1
alcohol,175500,177200,1700,4
blood,176500,176700,200,1
phobic,176500,177200,700,2
blood,178500,178700,200,1
phobic,179500,183700,4200,9
obscene,184000,196200,12200,25
phobic,184500,185200,700,2
phobic,186000,187200,1200,3
phobic,188500,188700,200,1
phobic,189500,190700,1200,3
phobic,191500,194200,2700,6
phobic,195000,195700,700,2
phobic,196500,197200,700,2
obscene,197000,259200,62200,131
phobic,198000,211200,13200,27
phobic,212000,215200,3200,7
violence,212500,212700,200,1
blood,213500,214200,700,2
phobic,216000,218200,2200,5
alcohol,216500,219200,2700,6
blood,216500,219200,2700,6
phobic,219000,229200,10200,21
phobic,231500,232200,700,2
blood,232000,232200,200,1
phobic,233000,233700,700,2
phobic,234500,242200,7700,16
phobic,243000,243700,700,2
phobic,246500,247200,700,2
alcohol,250500,253200,2700,12
blood,250500,253200,2700,8
phobic,250500,250700,200,1
phobic,253500,269700,16200,33
blood,254000,254200,200,1
blood,260000,260200,200,2
obscene,260000,286200,26200,56
phobic,270500,271200,700,2
phobic,272000,280200,8200,17
phobic,281000,281200,200,1
phobic,282000,282200,200,1
phobic,283500,286200,2700,6
obscene,287000,314200,27200,63
phobic,287000,296700,9700,20
blood,300000,300200,200,1
blood,302000,302200,200,1
phobic,304000,304200,200,1
blood,308000,322700,14700,33
alcohol,312000,314700,2700,6
phobic,314000,314700,700,2
obscene,315500,316700,1200,3
obscene,317500,368200,50700,112
phobic,326500,326700,200,1
phobic,327500,328700,1200,3
blood,329000,329200,200,1
phobic,329500,330700,1200,3
blood,331500,331700,200,1
phobic,331500,336200,4700,10
phobic,337000,343200,6200,13
phobic,345000,348700,3700,8
phobic,352000,355700,3700,8
phobic,357000,359200,2200,5
phobic,360500,363700,3200,7
blood,365000,365200,200,1
phobic,365500,370700,5200,11
obscene,369000,462700,93700,200
phobic,371500,371700,200,1
phobic,372500,372700,200,1
phobic,375500,380700,5200,11
blood,376000,376200,200,1
phobic,381500,384200,2700,6
phobic,385000,385200,200,1
phobic,386500,386700,200,1
phobic,387500,391200,3700,8
phobic,392000,404700,12700,26
phobic,405500,405700,200,1
phobic,406500,406700,200,1
phobic,408500,418200,9700,20
phobic,419500,462700,43200,87
alcohol,460500,466200,5700,12
blood,462000,466200,4200,13
obscene,463500,463700,200,1
phobic,463500,477700,14200,29
obscene,464500,475200,10700,22
alcohol,475500,477700,2200,5
blood,477000,477200,200,1
obscene,477000,486200,9200,22
blood,478000,486200,8200,34
blood,490000,490200,200,1
blood,509500,509700,200,1
blood,510500,513200,2700,8
