second,label,count
3,spider,12
4,spider,5
6,blood,24
7,blood,24
8,blood,24
9,blood,24
10,blood,24
11,blood,24
12,blood,24
12,violence,5
13,blood,24
14,blood,24
14,violence,24
15,blood,17
15,violence,5
35,blood,4
37,blood,4
38,blood,4
38,clown,4
44,BUTTOCKS_COVERED,5
54,blood,17
55,BUTTOCKS_COVERED,5
55,blood,5
59,blood,24
60,blood,17
63,blood,5
70,blood,12
71,blood,5
72,blood,24
73,blood,5
74,blood,5
75,violence,12
76,violence,16
77,ARMPITS_EXPOSED,4
78,ARMPITS_EXPOSED,4
79,blood,24
80,blood,24
81,blood,4
82,ARMPITS_EXPOSED,4
83,blood,17
85,BELLY_EXPOSED,12
86,BELLY_EXPOSED,17
91,clown,5
94,clown,12
95,clown,24
96,clown,17
100,blood,5
107,blood,5
110,FEMALE_BREAST_COVERED,5
111,item,24
112,blood,5
112,item,24
113,blood,5
113,item,17
115,FEMALE_BREAST_COVERED,12
115,item,5
116,FEMALE_BREAST_COVERED,24
117,FEMALE_BREAST_COVERED,24
118,FEMALE_BREAST_COVERED,16
118,clown,4
119,blood,24
120,blood,16
122,blood,4
124,blood,11
125,ARMPITS_EXPOSED,17
125,blood,17
126,ARMPITS_EXPOSED,5
127,clown,17
128,blood,12
129,blood,17
135,clown,5
139,blood,5
140,item,5
141,item,5
143,blood,12
143,item,12
144,blood,24
144,item,24
145,blood,24
145,item,24
145,spider,5
146,blood,17
146,item,17
147,clown,24
148,blood,5
148,clown,5
149,clown,12
149,item,5
150,clown,24
151,clown,24
152,clown,24
153,clown,24
154,blood,5
154,clown,24
155,clown,24
156,clown,24
157,clown,24
158,clown,17
160,clown,16
162,clown,4
163,clown,24
164,clown,24
165,blood,16
165,clown,24
166,clown,4
166,item,23
167,blood,5
167,clown,5
167,item,5
168,blood,5
168,clown,24
169,clown,17
170,blood,24
170,item,24
171,blood,24
171,clown,24
171,item,24
172,blood,24
172,clown,5
172,item,24
173,blood,5
173,item,24
174,clown,12
174,item,5
175,blood,5
175,clown,17
175,item,12
176,blood,5
176,clown,12
176,item,24
177,clown,5
177,item,5
178,blood,5
179,clown,12
180,clown,24
181,clown,24
182,clown,24
183,clown,17
184,clown,12
185,clown,5
186,clown,24
187,clown,5
188,clown,5
189,clown,12
190,clown,17
191,clown,12
192,clown,24
193,clown,24
194,clown,5
195,clown,17
196,clown,12
197,clown,5
198,clown,24
199,clown,24
200,clown,24
201,clown,24
202,clown,24
203,clown,24
204,clown,24
205,clown,24
206,clown,24
207,clown,24
208,clown,23
209,clown,24
210,clown,24
211,clown,5
212,clown,24
212,violence,5
213,blood,12
213,clown,24
214,blood,5
214,clown,24
215,clown,5
216,blood,12
216,clown,24
216,item,12
217,blood,24
217,clown,24
217,item,24
218,blood,24
218,clown,5
218,item,24
219,blood,5
219,clown,24
219,item,5
220,clown,24
221,clown,24
222,clown,24
223,clown,24
224,clown,24
225,clown,24
226,clown,24
227,clown,24
228,clown,24
229,clown,5
231,clown,12
232,blood,5
232,clown,5
233,clown,17
234,clown,12
235,clown,24
236,clown,24
237,clown,24
238,clown,24
239,clown,24
240,clown,24
241,clown,24
242,clown,5
243,clown,16
246,clown,12
247,clown,4
250,blood,12
250,clown,5
250,item,12
251,blood,24
251,item,24
252,blood,24
252,item,24
253,blood,5
253,clown,12
253,item,5
254,blood,5
254,clown,24
255,clown,24
256,clown,24
257,clown,24
258,clown,24
259,clown,24
260,blood,5
260,clown,24
261,clown,24
262,clown,24
263,clown,24
264,clown,24
265,clown,24
266,clown,24
267,clown,24
268,clown,24
269,clown,17
270,clown,12
271,clown,5
272,clown,24
273,clown,24
274,clown,24
275,clown,24
276,clown,24
277,clown,24
278,clown,24
279,clown,24
280,clown,5
281,clown,5
282,clown,5
283,clown,12
284,clown,24
285,clown,24
286,clown,4
287,clown,24
288,clown,24
289,clown,24
290,clown,24
291,clown,23
292,clown,24
293,clown,24
294,clown,24
295,clown,24
296,clown,17
300,blood,5
302,blood,5
304,clown,5
308,blood,24
309,blood,24
310,blood,24
311,blood,24
312,blood,24
312,item,24
313,blood,24
313,item,24
314,blood,24
314,item,17
314,spider,17
315,blood,24
316,blood,24
317,blood,24
318,blood,24
319,blood,24
320,blood,24
321,blood,24
322,blood,17
326,clown,4
327,clown,12
328,clown,16
329,blood,4
329,clown,12
330,clown,16
331,blood,4
331,clown,12
332,clown,24
333,clown,23
334,clown,24
335,clown,24
336,clown,5
337,clown,24
338,clown,24
339,clown,24
340,clown,24
341,clown,24
342,clown,24
343,clown,5
345,clown,24
346,clown,24
347,clown,24
348,clown,17
352,clown,24
353,clown,24
354,clown,24
355,clown,17
357,clown,24
358,clown,24
359,clown,5
360,clown,12
361,clown,24
362,clown,24
363,clown,17
365,blood,5
365,clown,12
366,clown,24
367,clown,24
368,clown,24
369,clown,24
370,clown,16
371,clown,4
372,clown,4
375,clown,12
376,blood,5
376,clown,24
377,clown,24
378,clown,24
379,clown,24
380,clown,17
381,clown,12
382,clown,24
383,clown,24
384,clown,5
385,clown,5
386,clown,5
387,clown,12
388,clown,24
389,clown,24
390,clown,24
391,clown,5
392,clown,24
393,clown,24
394,clown,24
395,clown,24
396,clown,24
397,clown,24
398,clown,24
399,clown,24
400,clown,24
401,clown,24
402,clown,24
403,clown,24
404,clown,17
405,clown,5
406,clown,5
408,clown,12
409,clown,24
410,clown,24
411,clown,24
412,clown,24
413,clown,24
414,clown,24
415,clown,24
416,clown,23
417,clown,24
418,clown,5
419,clown,12
420,clown,24
421,clown,24
422,clown,24
423,clown,24
424,clown,24
425,clown,24
426,clown,24
427,clown,24
428,clown,24
429,clown,24
430,clown,24
431,clown,24
432,clown,24
433,clown,24
434,clown,24
435,clown,24
436,clown,24
437,clown,24
438,clown,24
439,clown,24
440,clown,24
441,clown,24
442,clown,24
443,clown,24
444,clown,24
445,clown,24
446,clown,24
447,clown,24
448,clown,24
449,clown,24
450,clown,24
451,clown,24
452,clown,24
453,clown,24
454,clown,24
455,clown,24
456,clown,24
457,clown,24
458,clown,23
459,clown,24
460,clown,24
460,item,12
461,clown,24
461,item,24
462,blood,24
462,clown,17
462,item,24
463,blood,24
463,clown,12
463,item,24
464,blood,24
464,clown,24
464,item,24
465,blood,24
465,clown,24
465,item,24
466,blood,5
466,clown,24
466,item,5
467,clown,24
468,clown,24
469,clown,24
470,clown,24
471,clown,24
472,clown,24
473,clown,24
474,clown,24
475,clown,24
475,item,12
476,clown,24
476,item,24
477,blood,5
477,clown,17
477,item,17
478,blood,24
479,blood,24
480,blood,24
481,blood,24
482,blood,24
483,blood,24
484,blood,24
485,blood,24
486,blood,5
490,blood,5
509,blood,5
510,blood,12
511,blood,24
512,blood,24
513,blood,5
