ts_ms,label
500,clown
1000,clown
10500,item
11000,item
11500,item
12000,item
12500,item
13000,item
13500,item
16000,item
16500,item
17000,item
17500,item
18000,clown
18000,item
18500,clown
18500,item
21000,clown
22000,blood
22000,clown
22500,blood
22500,clown
23000,blood
23000,clown
23500,blood
23500,clown
24000,blood
24000,clown
24500,blood
24500,clown
25000,blood
25500,blood
26000,blood
26000,clown
26500,blood
27000,blood
27500,blood
28000,blood
28500,blood
29000,blood
29500,blood
30000,blood
30500,blood
30500,item
31000,blood
31000,item
32000,blood
33000,blood
33500,blood
33500,item
34000,blood
34500,blood
38500,blood
46500,blood
54500,blood
55000,blood
56500,blood
57000,blood
57500,blood
58000,blood
59000,blood
59500,blood
60000,blood
60500,blood
61000,blood
61500,blood
62000,blood
62500,blood
63000,blood
63500,blood
64000,blood
64500,blood
67500,blood
68000,blood
71000,blood
71500,blood
73500,blood
78500,item
78500,item
78500,item
79000,item
79000,item
79000,item
79500,item
79500,item
80000,item
80000,item
80000,item
80500,item
80500,item
80500,item
81000,item
81000,item
81000,item
81000,item
81500,item
81500,item
82000,item
82000,item
82000,item
82000,item
82500,item
82500,item
83000,item
83500,item
83500,item
83500,item
84000,item
84000,item
84000,item
84500,item
84500,item
84500,item
84500,item
85000,item
85000,item
85000,item
85500,item
85500,item
85500,item
85500,item
85500,item
86000,item
86000,item
86000,item
86500,item
86500,item
86500,item
86500,item
87000,item
87000,item
87000,item
87000,item
87000,item
87500,item
87500,item
87500,item
87500,item
88000,item
88000,item
88000,item
88000,item
88000,item
88500,item
88500,item
88500,item
88500,item
88500,item
89000,item
89000,item
89000,item
89000,item
89000,item
89500,item
89500,item
89500,item
89500,item
89500,item
90000,item
90000,item
90000,item
90500,item
90500,item
91000,item
91000,item
91000,item
91500,item
91500,item
91500,item
92000,item
92000,item
92000,item
92500,item
92500,item
93000,item
93000,item
93500,item
94000,item
94000,item
94500,item
95000,item
95000,item
95500,item
95500,item
95500,item
96000,item
96000,item
96500,item
96500,item
96500,item
97000,item
97500,item
97500,item
98000,blood
98000,item
98000,item
98500,item
98500,item
99000,blood
99000,item
99000,item
99000,item
99500,item
99500,item
99500,item
100000,item
100000,item
100000,item
100500,item
100500,item
100500,item
101000,item
101000,item
101000,item
101000,item
101500,item
101500,item
101500,item
101500,item
102000,item
102000,item
102000,item
102000,item
102000,item
102000,item
102000,violence
102500,blood
102500,item
102500,item
102500,item
102500,item
102500,item
102500,violence
103000,item
103000,item
103000,item
103000,item
103500,item
103500,item
103500,item
103500,item
103500,violence
104000,item
104000,item
104000,item
104000,item
104000,item
104000,violence
104500,item
104500,item
104500,item
104500,violence
105000,item
105000,item
105000,item
105000,item
105500,item
105500,item
105500,item
105500,item
105500,violence
106000,item
106000,item
106000,item
106000,item
106500,blood
107000,blood
107000,clown
107500,clown
108000,clown
108500,clown
109000,clown
109500,clown
110000,clown
110500,clown
111000,clown
114000,clown
114500,blood
114500,clown
115000,clown
115500,blood
115500,clown
116000,blood
116000,clown
116500,blood
116500,clown
117000,clown
117500,clown
118000,blood
118000,clown
118500,blood
119000,blood
119500,blood
