second,label,count
0,clown,12
1,clown,6
10,item,12
11,item,25
12,item,25
13,item,18
16,item,25
17,item,25
18,clown,18
18,item,18
21,clown,6
22,blood,25
22,clown,25
23,blood,25
23,clown,25
24,blood,25
24,clown,18
25,blood,25
26,blood,25
26,clown,6
27,blood,25
28,blood,25
29,blood,25
30,blood,25
30,item,12
31,blood,6
31,item,6
32,blood,6
33,blood,25
33,item,5
34,blood,18
38,blood,5
46,blood,5
54,blood,12
55,blood,6
56,blood,12
57,blood,25
58,blood,6
59,blood,25
60,blood,25
61,blood,25
62,blood,25
63,blood,25
64,blood,18
67,blood,12
68,blood,6
71,blood,18
73,blood,5
78,item,12
79,item,25
80,item,25
81,item,25
82,item,25
83,item,25
84,item,25
85,item,25
86,item,25
87,item,25
88,item,25
89,item,25
90,item,25
91,item,25
92,item,25
93,item,25
94,item,25
95,item,25
96,item,25
97,item,25
98,blood,6
98,item,25
99,blood,6
99,item,25
100,item,25
101,item,25
102,blood,5
102,item,25
102,violence,18
103,item,25
103,violence,12
104,item,25
104,violence,18
105,item,25
105,violence,5
106,blood,12
106,item,6
107,blood,6
107,clown,25
108,clown,25
109,clown,25
110,clown,25
111,clown,6
114,blood,5
114,clown,25
115,blood,12
115,clown,25
116,blood,18
116,clown,25
117,clown,25
118,blood,25
118,clown,6
119,blood,18
