second,label,count
8,violence,17
9,violence,5
12,violence,5
13,violence,24
14,violence,5
15,snake,5
15,violence,5
16,snake,5
18,violence,5
19,violence,10
20,blood,5
21,violence,53
22,violence,39
23,violence,48
24,violence,53
25,violence,34
26,violence,5
27,snake,5
27,violence,41
28,violence,10
29,violence,29
30,violence,10
31,violence,29
32,violence,27
33,violence,29
34,violence,28
35,violence,20
36,snake,4
37,violence,4
40,violence,12
41,spider,5
41,violence,23
42,violence,24
43,violence,24
44,violence,22
45,violence,12
46,item,5
46,violence,24
47,violence,29
48,violence,24
49,violence,24
50,clown,5
50,violence,41
51,violence,24
52,violence,29
53,violence,17
54,clown,17
57,snake,12
58,snake,17
60,violence,5
61,clown,5
65,blood,5
69,blood,5
73,violence,5
74,violence,24
75,violence,24
76,violence,24
77,violence,24
78,violence,4
81,item,12
82,item,16
83,item,12
84,item,24
84,violence,17
85,item,24
86,item,24
87,item,5
92,clown,5
94,clown,12
95,clown,24
95,violence,5
96,clown,5
98,snake,17
99,violence,12
100,item,5
100,violence,24
101,violence,24
102,violence,24
103,item,5
103,violence,24
104,violence,17
105,item,5
105,violence,12
106,violence,17
107,item,24
108,item,5
108,violence,24
109,violence,5
110,blood,5
110,clown,5
110,violence,5
112,clown,24
112,violence,5
113,clown,5
114,blood,5
114,clown,5
118,violence,4
120,violence,4
121,violence,12
122,violence,4
124,blood,4
124,violence,4
125,violence,5
129,blood,5
129,clown,5
133,spider,5
135,violence,10
136,violence,5
143,snake,17
144,violence,24
145,violence,24
146,violence,48
147,violence,29
148,violence,5
150,clown,5
150,spider,5
150,violence,12
151,violence,24
152,violence,27
153,violence,5
158,violence,5
162,clown,4
167,clown,5
167,violence,5
170,violence,17
171,violence,12
172,violence,24
173,violence,5
176,blood,5
176,spider,5
180,violence,5
182,violence,12
183,violence,24
184,violence,5
186,violence,24
187,violence,24
188,violence,24
189,violence,24
190,clown,5
190,violence,5
191,violence,29
192,item,5
192,violence,53
193,violence,48
194,violence,41
195,violence,24
196,violence,24
197,violence,24
198,clown,5
198,violence,24
199,violence,5
200,violence,17
202,spider,24
203,spider,4
206,spider,4
207,violence,24
208,violence,23
209,violence,41
210,violence,29
211,violence,29
212,blood,5
212,violence,24
213,violence,24
214,violence,24
215,violence,24
216,spider,5
216,violence,17
218,spider,12
219,spider,5
219,violence,12
220,blood,24
220,snake,5
220,violence,24
221,blood,5
221,violence,24
222,blood,5
222,violence,24
223,violence,24
224,violence,29
225,violence,29
226,violence,29
227,violence,36
228,violence,41
229,violence,29
230,violence,24
231,blood,5
231,violence,24
232,FEET_EXPOSED,5
232,snake,5
232,violence,17
233,snake,5
233,violence,24
234,violence,24
235,violence,24
236,violence,5
237,violence,5
238,violence,10
240,violence,5
241,violence,5
242,violence,12
243,violence,24
244,violence,24
245,violence,24
246,violence,24
247,violence,8
248,blood,4
248,violence,36
249,violence,27
250,violence,10
251,violence,29
252,violence,5
253,violence,24
254,violence,24
255,violence,24
256,violence,24
257,violence,24
258,violence,17
259,violence,5
260,spider,5
261,violence,17
262,spider,5
263,violence,29
264,violence,29
265,violence,29
266,violence,10
267,violence,12
268,violence,24
269,violence,5
270,violence,24
271,violence,5
272,item,5
272,violence,29
273,violence,41
274,violence,22
275,violence,29
276,violence,17
277,violence,34
278,violence,24
279,violence,24
280,item,5
280,violence,41
281,violence,17
284,spider,4
284,violence,8
285,violence,8
286,clown,4
286,violence,16
287,spider,4
287,violence,28
288,violence,8
290,item,4
290,violence,4
291,violence,23
292,blood,5
292,violence,5
293,violence,24
294,violence,24
295,violence,24
296,violence,24
297,violence,17
298,item,5
299,item,5
299,violence,17
300,violence,5
301,violence,10
302,violence,29
303,violence,41
304,violence,29
305,violence,5
306,violence,5
307,clown,17
307,violence,12
308,violence,5
309,snake,5
309,violence,34
310,item,5
310,violence,24
311,violence,24
312,violence,22
313,violence,5
319,item,5
321,violence,5
323,blood,5
325,clown,5
329,violence,4
332,violence,16
334,violence,5
335,snake,5
335,violence,12
336,violence,5
337,violence,5
338,spider,5
338,violence,5
339,violence,5
340,violence,17
341,violence,17
344,violence,5
345,violence,5
347,clown,5
347,violence,5
349,violence,29
350,violence,29
351,violence,10
352,clown,5
352,violence,5
354,clown,5
356,violence,29
357,clown,5
357,violence,24
358,violence,5
359,spider,5
361,violence,24
362,blood,5
362,clown,5
362,violence,5
363,spider,5
363,violence,5
364,violence,5
365,snake,24
366,snake,5
372,snake,12
372,violence,4
373,snake,16
373,violence,4
374,item,4
376,violence,5
377,violence,17
378,snake,5
378,spider,5
382,item,5
384,clown,5
385,snake,5
388,snake,12
388,violence,5
389,item,5
389,snake,24
389,violence,5
390,snake,5
390,violence,5
391,snake,5
394,violence,5
395,blood,5
396,clown,17
398,blood,17
398,clown,5
399,blood,12
400,blood,5
401,blood,5
402,clown,12
403,blood,5
403,clown,5
403,violence,5
405,violence,17
406,blood,5
406,violence,5
407,blood,5
407,violence,5
408,blood,5
408,clown,24
409,clown,5
410,violence,8
411,blood,4
411,spider,4
411,violence,24
412,violence,24
413,spider,4
413,violence,4
414,violence,16
415,violence,4
416,violence,16
417,violence,17
418,spider,5
418,violence,24
419,violence,24
420,spider,5
420,violence,17
421,violence,12
422,spider,5
422,violence,5
423,violence,24
424,violence,5
427,violence,29
428,violence,36
429,violence,29
430,violence,10
431,violence,34
432,violence,17
433,violence,5
436,violence,5
437,violence,10
438,clown,5
438,violence,22
439,clown,10
441,violence,29
442,violence,22
443,spider,5
448,violence,5
449,violence,5
451,snake,4
453,violence,4
454,item,4
461,clown,5
463,clown,5
464,violence,5
465,spider,5
466,clown,5
468,violence,5
469,clown,5
469,violence,5
470,violence,5
471,item,5
472,violence,5
473,clown,5
473,violence,24
474,violence,5
475,item,17
475,violence,24
476,violence,24
477,item,12
477,violence,24
478,item,10
478,violence,5
479,violence,24
480,violence,5
481,blood,5
483,violence,5
485,violence,12
486,violence,15
487,violence,5
488,clown,5
489,violence,5
490,item,5
490,violence,17
491,blood,5
491,clown,5
491,violence,17
499,violence,4
502,clown,5
503,violence,5
504,blood,5
505,violence,12
506,clown,5
506,violence,5
507,blood,5
507,violence,10
509,clown,5
509,violence,34
510,violence,17
512,clown,5
512,violence,5
513,violence,10
514,violence,5
515,violence,5
518,clown,17
518,violence,5
519,violence,12
520,violence,24
521,violence,24
522,violence,24
523,violence,24
524,clown,12
524,violence,29
525,clown,17
525,violence,24
526,clown,12
526,violence,5
527,clown,17
529,clown,12
530,clown,5
532,blood,5
532,clown,5
532,item,5
532,violence,5
533,blood,5
533,item,5
533,violence,5
536,clown,16
544,violence,5
547,clown,5
547,violence,17
549,clown,5
550,clown,5
550,violence,12
551,violence,5
553,clown,10
553,violence,12
554,clown,5
554,violence,5
556,violence,17
558,violence,5
559,blood,5
560,clown,17
560,violence,12
561,clown,24
561,violence,17
562,clown,5
562,violence,5
563,clown,24
563,item,5
564,clown,17
565,violence,12
566,violence,17
567,blood,5
567,clown,12
568,clown,24
569,clown,24
570,clown,24
570,item,5
571,clown,24
572,clown,24
572,violence,5
573,clown,24
574,clown,24
575,clown,24
576,clown,24
577,clown,24
578,clown,16
