second,label,count
0,clown,10
1,clown,6
10,item,15
11,item,25
12,item,25
13,item,25
14,item,1
16,item,45
17,item,31
18,item,30
19,item,2
21,clown,6
22,blood,25
22,clown,15
23,blood,25
23,clown,25
24,blood,25
24,clown,21
25,blood,25
26,blood,25
27,blood,25
27,violence,6
28,blood,25
29,blood,25
29,item,5
30,blood,25
30,item,25
31,blood,6
31,item,6
31,violence,11
32,blood,11
33,blood,11
33,item,6
34,blood,11
40,item,6
41,item,20
42,item,16
43,violence,11
44,violence,6
46,blood,16
56,blood,15
57,blood,6
58,blood,5
59,blood,25
60,blood,25
61,blood,25
62,blood,25
63,blood,25
64,blood,25
65,blood,1
66,item,15
67,item,25
68,item,25
69,item,25
70,item,1
78,item,70
78,violence,15
79,item,140
79,violence,31
80,item,146
80,violence,25
81,item,131
81,violence,21
82,item,111
83,item,111
84,item,116
85,item,115
85,violence,5
86,item,150
86,violence,16
87,item,136
88,item,125
89,item,131
90,item,83
90,violence,6
91,item,75
92,item,75
93,item,72
94,item,55
95,blood,5
95,item,80
96,blood,1
96,item,72
97,item,50
97,violence,12
98,item,70
99,item,100
100,item,91
101,item,139
101,violence,5
102,blood,6
102,item,136
102,violence,31
103,item,125
103,violence,63
104,item,117
104,violence,55
105,item,100
105,violence,57
106,blood,10
106,item,59
106,violence,27
107,blood,1
107,clown,25
107,violence,6
108,clown,25
109,clown,25
110,clown,16
114,clown,5
115,blood,5
115,clown,11
116,blood,11
116,clown,21
117,blood,5
117,clown,10
118,blood,25
118,clown,6
119,blood,16
