id,label,start_ms,end_ms,duration_ms,n_keyframes
clown-13,clown,600,1200,600,3
item-20,item,10400,14000,3600,16
item-21,item,16000,19000,3000,15
item-22,item,16200,17200,1000,3
item-23,item,18800,19000,200,1
clown-14,clown,21400,21600,200,1
blood-1,blood,22000,31200,9200,40
clown-15,clown,22400,24800,2400,10
violence-55,violence,27600,27800,200,1
item-24,item,29800,31200,1400,6
violence-56,violence,31200,31600,400,2
blood-2,blood,32000,32200,200,1
blood-3,blood,32800,33200,400,2
item-25,item,33600,33800,200,1
blood-4,blood,33800,34400,600,3
item-26,item,40400,40600,200,1
item-27,item,41200,42600,1400,4
violence-57,violence,43400,43600,200,1
violence-58,violence,43800,44200,400,2
blood-5,blood,46200,46800,600,3
blood-6,blood,56400,57200,800,3
blood-7,blood,58800,65000,6200,31
item-28,item,66400,70000,3600,11
item-29,item,78400,90200,11800,59
item-30,item,78400,89800,11400,57
item-31,item,78400,81600,3200,14
item-32,item,78400,80800,2400,11
violence-59,violence,78400,81800,3400,15
item-33,item,78600,101400,22800,107
item-34,item,79400,82400,3000,11
violence-60,violence,79600,79800,200,1
item-35,item,81400,87400,6000,21
item-36,item,83000,83200,200,1
item-37,item,83800,84600,800,4
item-38,item,85400,93800,8400,42
violence-61,violence,85800,86600,800,2
item-39,item,86000,90200,4200,21
item-40,item,89600,90000,400,2
violence-62,violence,90000,90200,200,1
item-41,item,90200,93800,3600,18
item-42,item,93800,96600,2800,14
item-43,item,94800,106600,11800,58
blood-8,blood,95800,96000,200,1
item-44,item,95800,96200,400,2
violence-63,violence,97200,97400,200,1
violence-64,violence,97200,97400,200,1
item-45,item,98400,106400,8000,37
item-46,item,98800,100600,1800,6
item-47,item,101000,101200,200,1
item-48,item,101400,106600,5200,26
item-49,item,101400,106600,5200,26
item-50,item,101400,101600,200,1
item-51,item,101400,101600,200,1
item-52,item,101400,102400,1000,4
item-53,item,101400,104400,3000,15
violence-65,violence,101800,106600,4800,24
violence-66,violence,102000,102200,200,1
blood-9,blood,102400,102600,200,1
violence-67,violence,103000,103800,800,4
violence-68,violence,103200,103600,400,2
violence-69,violence,103600,103800,200,1
item-54,item,104200,104400,200,1
violence-70,violence,104400,105600,1200,6
violence-71,violence,104400,105600,1200,5
violence-72,violence,106200,106600,400,2
blood-10,blood,106600,107000,400,2
clown-16,clown,107000,110600,3600,15
violence-73,violence,107400,107600,200,1
clown-17,clown,114800,115000,200,1
clown-18,clown,115600,116800,1200,6
blood-11,blood,115800,116400,600,2
clown-19,clown,117600,118200,600,3
blood-12,blood,117800,119600,1800,9
