second,label,count
0,item,12
1,item,30
2,item,12
5,clown,12
5,item,12
6,clown,30
6,item,30
7,clown,30
7,item,30
8,clown,30
8,item,30
9,clown,6
9,item,6
12,blood,30
12,item,6
12,violence,6
13,blood,42
14,blood,24
14,item,6
15,item,30
16,blood,24
18,clown,12
19,clown,6
21,blood,30
21,item,6
22,blood,30
22,item,6
23,blood,6
23,item,12
23,spider,6
25,violence,18
26,blood,48
26,clown,24
26,violence,12
27,blood,60
27,clown,30
27,violence,12
28,blood,60
28,clown,30
28,violence,24
29,blood,24
29,item,30
30,blood,18
30,clown,24
30,item,18
31,blood,30
31,clown,6
32,blood,29
33,blood,7
33,clown,30
34,clown,30
35,clown,24
37,snake,6
38,snake,30
39,snake,12
41,snake,6
42,blood,6
43,clown,6
44,blood,12
44,snake,6
45,blood,30
46,spider,6
47,blood,30
48,blood,30
49,blood,18
50,blood,12
51,violence,6
52,blood,6
54,blood,30
55,blood,18
55,snake,6
56,snake,30
57,snake,30
58,snake,18
59,blood,12
60,blood,12
62,blood,18
63,blood,30
63,clown,6
64,blood,6
65,clown,6
66,clown,29
67,clown,30
68,clown,14
