id,label,start_ms,end_ms,duration_ms,n_keyframes
item-32,item,600,2400,1800,9
clown-23,clown,5600,9200,3600,18
item-33,item,5600,9200,3600,18
item-34,item,12200,12400,200,1
blood-1,blood,12400,13400,1000,3
violence-45,violence,12400,12600,200,1
blood-2,blood,12600,13400,800,2
blood-3,blood,13200,13400,200,1
blood-4,blood,13600,14600,1000,5
blood-5,blood,14200,14400,200,1
item-35,item,14800,16000,1200,4
blood-6,blood,16000,16800,800,4
clown-24,clown,18200,18600,400,2
clown-25,clown,19200,19400,200,1
blood-7,blood,21000,23000,2000,8
item-36,item,21800,22200,400,2
blood-8,blood,23600,23800,200,1
item-37,item,23600,24000,400,2
spider-43,spider,23600,23800,200,1
violence-46,violence,25400,26200,800,4
blood-10,blood,26200,29800,3600,15
blood-9,blood,26200,29000,2800,13
clown-26,clown,26200,29000,2800,11
violence-47,violence,26400,26600,200,1
violence-48,violence,27600,28800,1200,6
item-38,item,29000,30600,1600,8
clown-27,clown,30200,31200,1000,3
blood-11,blood,30400,33200,2800,11
clown-28,clown,33000,35800,2800,11
snake-39,snake,37800,39400,1600,6
snake-40,snake,41800,42000,200,1
blood-12,blood,42800,43000,200,1
clown-29,clown,43800,44000,200,1
snake-41,snake,44200,44400,200,1
blood-13,blood,44600,46000,1400,7
spider-44,spider,46600,46800,200,1
blood-14,blood,47000,49600,2600,10
blood-15,blood,50600,51000,400,2
violence-49,violence,51400,51600,200,1
blood-16,blood,52800,53000,200,1
blood-17,blood,54000,55600,1600,7
snake-42,snake,55800,58600,2800,14
blood-18,blood,59400,59800,400,2
blood-19,blood,60600,61000,400,2
blood-20,blood,62400,63800,1400,3
blood-21,blood,63800,64000,200,1
clown-30,clown,63800,64000,200,1
blood-22,blood,64600,64800,200,1
clown-31,clown,65800,68600,2800,14
