second,label,count
7,violence,9
8,violence,15
9,violence,14
12,clown,5
13,violence,24
15,snake,15
17,snake,5
19,snake,5
20,blood,5
20,snake,5
20,violence,10
21,item,5
21,violence,39
22,violence,63
23,violence,53
24,violence,58
25,snake,5
25,violence,43
26,item,5
26,snake,14
26,violence,5
27,violence,48
28,violence,34
29,violence,38
30,violence,43
31,item,10
31,violence,48
32,violence,43
33,violence,34
34,violence,39
35,violence,24
36,snake,5
39,clown,5
40,violence,10
41,spider,10
41,violence,23
42,spider,5
42,violence,24
43,violence,28
44,item,5
44,spider,5
44,violence,30
45,violence,14
46,item,5
46,violence,28
47,violence,29
48,clown,5
48,violence,24
49,clown,5
49,violence,24
50,clown,19
50,item,5
50,violence,29
51,clown,5
51,violence,24
52,violence,29
53,violence,24
54,clown,19
57,snake,14
58,snake,24
60,violence,5
61,clown,5
64,blood,14
64,violence,4
65,blood,14
68,blood,5
69,blood,19
73,violence,24
74,violence,24
75,violence,24
76,violence,24
77,violence,24
78,violence,9
81,item,20
82,item,23
83,item,24
84,item,24
85,item,24
86,item,24
87,clown,5
87,item,5
88,clown,5
88,snake,5
89,clown,9
92,clown,9
92,item,14
94,clown,5
95,clown,24
95,item,5
95,violence,5
96,clown,10
96,snake,9
97,snake,24
98,snake,15
99,violence,10
100,item,10
100,violence,24
101,violence,24
102,violence,24
103,item,14
103,violence,24
104,item,24
104,violence,24
105,item,24
105,violence,14
106,item,5
106,violence,14
107,item,24
108,item,10
108,violence,15
109,clown,10
109,violence,9
110,blood,5
110,clown,19
112,clown,24
113,blood,5
113,clown,5
113,violence,4
114,blood,5
114,clown,5
115,snake,4
116,spider,5
118,violence,5
119,violence,10
120,violence,5
121,violence,10
122,violence,5
123,blood,20
123,clown,10
123,violence,5
124,blood,23
125,blood,1
125,violence,20
129,blood,10
129,clown,5
130,snake,5
134,violence,5
137,snake,4
142,snake,14
143,snake,19
143,violence,5
144,violence,24
145,blood,5
145,violence,24
146,violence,24
147,blood,5
147,violence,24
148,snake,5
148,violence,10
149,clown,14
150,blood,10
150,clown,5
150,spider,5
150,violence,19
151,blood,14
151,violence,24
152,violence,29
154,violence,9
155,clown,5
155,violence,4
156,violence,5
158,violence,5
162,clown,4
167,clown,19
169,violence,4
170,violence,20
176,spider,5
180,violence,10
181,clown,5
181,violence,5
182,violence,24
183,clown,5
183,violence,24
184,violence,24
185,violence,5
186,violence,24
187,violence,24
188,clown,5
188,violence,24
189,violence,24
190,clown,9
190,violence,34
191,violence,48
192,item,5
192,violence,48
193,violence,48
194,violence,48
195,violence,24
196,violence,24
197,violence,5
198,clown,5
198,item,5
198,violence,24
199,clown,9
199,violence,24
200,clown,5
200,spider,10
200,violence,14
201,spider,24
202,spider,24
203,spider,14
204,spider,15
206,spider,20
207,violence,24
208,violence,23
209,item,4
209,violence,24
210,violence,24
211,violence,29
212,blood,5
212,violence,24
213,violence,24
214,violence,24
215,violence,24
216,spider,19
216,violence,20
218,spider,9
219,spider,10
219,violence,14
220,blood,24
220,snake,9
220,violence,24
221,blood,5
221,violence,24
222,blood,15
222,snake,4
222,violence,24
223,violence,43
224,violence,39
225,violence,29
226,violence,34
227,violence,48
228,violence,43
229,violence,33
230,violence,24
231,blood,5
231,violence,29
232,FEET_EXPOSED,10
232,clown,5
232,violence,39
233,violence,24
234,violence,24
235,violence,24
236,blood,5
236,violence,24
237,violence,24
238,violence,19
240,violence,24
241,violence,24
242,snake,5
242,violence,24
243,blood,5
243,violence,24
244,violence,24
245,violence,24
246,violence,29
247,violence,39
248,violence,48
249,item,5
249,violence,32
250,violence,29
251,violence,29
252,violence,24
253,violence,24
254,violence,24
255,violence,24
256,violence,24
257,violence,24
258,violence,24
259,blood,5
259,violence,24
260,spider,5
260,violence,24
261,violence,29
262,spider,4
262,violence,15
263,violence,29
264,spider,5
264,violence,29
265,violence,29
266,violence,39
267,violence,24
268,violence,24
269,FEET_EXPOSED,5
269,violence,24
270,violence,24
271,clown,5
271,violence,29
272,item,5
272,violence,48
273,violence,48
274,violence,34
275,violence,43
276,violence,48
277,violence,29
278,violence,24
279,violence,24
280,violence,24
281,violence,19
282,snake,19
283,item,5
283,violence,5
284,spider,19
284,violence,24
285,violence,29
286,clown,4
286,violence,44
287,spider,4
287,violence,53
288,item,5
288,violence,18
289,item,5
290,violence,10
291,violence,23
292,violence,24
293,violence,29
294,violence,24
295,violence,24
296,violence,29
297,spider,5
297,violence,20
298,item,5
298,violence,9
299,item,5
299,violence,30
300,item,5
300,violence,14
301,item,5
301,violence,24
302,violence,47
303,clown,5
303,violence,62
304,violence,49
