second,label,count
6,blood,19
7,blood,24
7,item,5
8,blood,24
9,blood,24
9,item,5
9,violence,4
10,blood,24
11,blood,24
11,item,4
11,violence,19
12,blood,24
12,violence,24
13,blood,24
13,violence,24
14,blood,24
14,violence,24
15,blood,24
15,violence,15
20,violence,10
22,item,5
23,item,5
29,item,5
30,spider,5
31,spider,24
32,spider,14
33,blood,5
36,blood,5
36,spider,5
37,BELLY_EXPOSED,5
37,FEMALE_GENITALIA_COVERED,5
38,BELLY_EXPOSED,24
38,FEMALE_GENITALIA_COVERED,9
38,clown,15
39,BELLY_EXPOSED,4
44,BUTTOCKS_COVERED,10
53,BUTTOCKS_COVERED,5
54,BUTTOCKS_COVERED,24
55,BUTTOCKS_COVERED,10
57,blood,5
63,item,5
64,item,10
66,item,5
67,item,24
68,item,14
69,item,5
70,blood,10
70,item,9
71,blood,10
72,blood,5
73,blood,5
74,blood,19
75,item,5
75,violence,20
76,item,10
76,violence,24
77,ARMPITS_EXPOSED,24
77,FEMALE_BREAST_COVERED,15
77,item,24
77,violence,24
78,ARMPITS_EXPOSED,24
78,FEMALE_BREAST_COVERED,14
78,item,14
78,violence,24
79,blood,4
80,blood,24
82,ARMPITS_EXPOSED,23
83,ARMPITS_EXPOSED,25
83,blood,5
83,item,4
84,item,5
85,BELLY_EXPOSED,14
86,BELLY_EXPOSED,20
86,FEMALE_GENITALIA_COVERED,5
88,blood,4
91,clown,5
92,clown,24
93,clown,24
94,clown,10
100,clown,5
110,ARMPITS_EXPOSED,5
110,FEMALE_BREAST_COVERED,14
110,clown,19
110,item,5
111,ARMPITS_EXPOSED,24
111,item,24
112,ARMPITS_EXPOSED,28
112,blood,19
112,item,24
113,ARMPITS_EXPOSED,19
113,item,24
114,item,24
115,ARMPITS_EXPOSED,14
115,FEMALE_BREAST_COVERED,10
115,item,14
116,FEMALE_BREAST_COVERED,24
117,ARMPITS_EXPOSED,5
117,FEMALE_BREAST_COVERED,24
118,ARMPITS_EXPOSED,19
118,FEMALE_BREAST_COVERED,19
118,blood,5
120,clown,20
121,clown,9
122,blood,13
123,blood,5
124,ARMPITS_EXPOSED,14
125,ARMPITS_EXPOSED,24
125,blood,10
126,ARMPITS_EXPOSED,24
137,clown,4
138,clown,9
140,item,19
141,item,24
143,item,10
144,blood,24
144,item,24
145,blood,24
145,item,24
146,blood,24
146,item,24
146,violence,10
147,item,24
148,item,24
149,item,5
150,item,14
154,blood,5
155,clown,5
164,blood,5
164,item,5
165,item,10
166,item,23
167,item,5
169,item,9
170,blood,24
170,item,24
171,blood,24
171,item,24
172,blood,20
172,item,24
173,clown,5
173,item,24
174,item,5
175,item,14
176,item,43
177,item,29
177,violence,15
178,item,24
179,item,10
181,clown,4
184,item,5
186,clown,5
187,clown,14
189,clown,14
190,clown,24
190,violence,4
191,clown,5
199,clown,19
201,clown,10
211,clown,20
212,clown,9
212,violence,9
213,clown,5
213,violence,5
216,blood,5
216,item,9
217,item,24
218,item,24
219,item,15
223,clown,14
223,violence,14
224,clown,24
224,violence,19
225,clown,24
226,clown,14
233,clown,9
234,clown,10
235,clown,24
236,clown,9
241,clown,24
242,clown,5
244,clown,10
250,blood,9
250,item,18
251,blood,24
251,item,48
252,blood,24
252,item,48
253,blood,10
253,item,20
256,clown,19
257,clown,24
258,clown,24
258,violence,5
259,clown,5
262,clown,10
267,clown,5
268,clown,24
269,clown,10
271,clown,5
275,clown,5
283,blood,5
284,clown,24
285,clown,14
288,clown,5
289,clown,5
295,clown,20
302,clown,9
304,clown,5
307,blood,5
307,item,5
307,violence,5
308,blood,24
308,item,24
309,blood,24
309,item,24
309,violence,5
310,blood,24
310,item,24
311,blood,24
311,item,24
312,blood,24
312,item,24
313,blood,24
313,item,24
314,blood,24
314,item,24
315,blood,24
315,item,24
316,blood,19
316,item,14
318,blood,19
319,blood,24
320,blood,24
320,item,19
321,blood,24
321,item,24
322,blood,19
322,item,19
339,clown,5
360,violence,5
364,clown,5
368,clown,5
371,clown,10
375,clown,10
376,blood,10
376,clown,4
377,clown,5
379,clown,5
383,clown,5
385,clown,5
401,clown,4
403,clown,5
404,clown,5
413,clown,5
414,clown,24
415,clown,24
416,clown,19
417,clown,5
418,clown,5
419,item,5
420,clown,4
433,clown,5
434,clown,24
435,clown,5
436,clown,19
437,clown,5
437,item,9
440,clown,19
441,clown,5
442,clown,5
450,clown,24
451,clown,9
457,clown,20
458,clown,9
460,item,19
461,item,24
462,item,24
463,item,24
464,item,24
465,item,24
466,clown,19
466,item,5
467,clown,24
468,clown,24
469,clown,24
472,clown,5
473,clown,24
474,clown,15
475,item,19
476,item,24
477,blood,10
477,item,24
478,blood,48
478,item,24
479,blood,48
479,item,24
480,blood,48
480,item,24
481,blood,48
481,item,24
482,blood,48
482,item,24
483,blood,48
483,item,24
484,blood,48
484,item,19
485,blood,48
485,item,10
486,blood,18
486,item,9
510,blood,14
511,blood,24
512,blood,24
513,blood,10
