id,label,start_ms,end_ms,duration_ms,n_keyframes
blood-19,blood,6200,16000,9800,47
item-107,item,7600,7800,200,1
violence-145,violence,9600,9800,200,1
item-108,item,9800,10000,200,1
violence-146,violence,11200,15600,4400,22
item-109,item,11600,11800,200,1
violence-147,violence,20000,20400,400,2
item-110,item,22600,22800,200,1
item-111,item,23600,23800,200,1
item-112,item,29600,29800,200,1
spider-143,spider,30800,32600,1800,9
blood-20,blood,33200,33400,200,1
blood-21,blood,36200,36400,200,1
spider-144,spider,36400,36600,200,1
BELLY_EXPOSED-9,BELLY_EXPOSED,37800,39200,1400,4
FEMALE_GENITALIA_COVERED-17,FEMALE_GENITALIA_COVERED,37800,38400,600,3
clown-49,clown,38400,39000,600,3
BUTTOCKS_COVERED-11,BUTTOCKS_COVERED,44400,44800,400,2
BUTTOCKS_COVERED-12,BUTTOCKS_COVERED,53200,53400,200,1
BUTTOCKS_COVERED-13,BUTTOCKS_COVERED,54000,55400,1400,7
blood-22,blood,57800,58000,200,1
item-113,item,63800,64000,200,1
item-114,item,64600,65000,400,2
item-115,item,66800,68600,1800,9
item-116,item,69400,69600,200,1
item-117,item,70200,70600,400,2
blood-23,blood,70600,71200,600,3
blood-24,blood,71800,72200,400,2
blood-25,blood,73800,74800,1000,3
violence-148,violence,75400,79000,3600,17
item-118,item,75600,75800,200,1
violence-149,violence,75600,75800,200,1
item-119,item,76600,78600,2000,9
ARMPITS_EXPOSED-1,ARMPITS_EXPOSED,77000,79000,2000,9
FEMALE_BREAST_COVERED-14,FEMALE_BREAST_COVERED,77400,78600,1200,6
blood-26,blood,79000,79200,200,1
blood-27,blood,80000,81000,1000,3
ARMPITS_EXPOSED-2,ARMPITS_EXPOSED,82000,83800,1800,9
ARMPITS_EXPOSED-3,ARMPITS_EXPOSED,83600,83800,200,1
blood-28,blood,83600,83800,200,1
item-120,item,83800,84200,400,2
BELLY_EXPOSED-10,BELLY_EXPOSED,85400,86800,1400,7
FEMALE_GENITALIA_COVERED-18,FEMALE_GENITALIA_COVERED,86000,86200,200,1
blood-29,blood,88800,89000,200,1
