second,label,count
0,violence,6
1,FEET_COVERED,31
1,clown,20
2,FEET_COVERED,27
2,clown,25
3,clown,1
5,blood,6
6,clown,15
7,blood,5
7,clown,25
7,violence,6
8,FEET_COVERED,11
8,blood,1
8,clown,1
9,FEET_COVERED,6
10,FEET_COVERED,10
10,clown,16
11,FEET_COVERED,12
14,blood,11
23,clown,6
24,clown,15
25,clown,6
26,clown,11
27,clown,25
28,clown,11
29,clown,6
30,clown,7
30,item,15
31,item,7
32,item,6
33,blood,5
34,blood,1
35,clown,20
36,clown,1
37,clown,15
37,item,5
38,clown,11
38,item,11
39,item,36
40,item,31
40,violence,20
41,FEET_EXPOSED,20
41,item,6
41,violence,1
42,FEET_EXPOSED,25
42,clown,6
43,FEET_EXPOSED,21
43,blood,11
44,FEET_EXPOSED,17
45,FEET_EXPOSED,6
45,clown,6
47,FEET_COVERED,6
47,blood,6
48,FEET_COVERED,6
51,clown,5
52,clown,6
53,clown,20
54,clown,11
55,clown,16
56,item,5
57,item,31
58,blood,5
58,item,25
59,blood,25
59,item,1
60,blood,6
60,item,15
61,item,21
62,violence,11
63,item,6
66,FEET_EXPOSED,6
66,blood,6
67,item,20
68,item,11
70,item,11
71,item,1
75,item,6
76,item,11
80,item,15
81,FEET_EXPOSED,6
81,item,16
82,item,5
83,item,31
84,item,16
85,clown,6
85,item,15
86,blood,15
86,item,6
87,blood,1
87,item,6
88,blood,6
88,item,6
90,item,10
91,item,11
92,item,1
97,clown,6
101,item,15
102,item,11
102,violence,6
103,item,25
104,item,6
105,item,6
107,clown,6
115,FEMALE_BREAST_COVERED,10
116,FEMALE_BREAST_COVERED,7
119,clown,21
120,FEET_COVERED,11
120,clown,11
121,FEET_COVERED,20
121,clown,1
122,FEET_COVERED,11
131,FEET_COVERED,20
132,FEET_COVERED,35
132,FEMALE_BREAST_COVERED,5
133,FEET_COVERED,95
133,FEMALE_BREAST_COVERED,1
133,clown,16
134,FEET_COVERED,34
134,FEMALE_BREAST_COVERED,6
134,item,11
135,item,5
136,item,7
136,violence,6
143,item,6
145,item,6
147,FEET_COVERED,12
147,clown,5
147,snake,6
148,clown,25
149,clown,16
149,violence,6
155,FEET_COVERED,6
155,clown,15
155,violence,11
156,FEET_COVERED,16
156,clown,31
157,clown,16
157,snake,5
158,snake,1
160,FEET_COVERED,16
160,clown,11
160,snake,5
161,FEET_COVERED,7
161,snake,1
163,FEET_COVERED,20
163,clown,6
164,FEET_COVERED,11
166,FEET_COVERED,15
166,clown,6
166,snake,5
166,violence,6
167,FEET_COVERED,17
167,snake,11
168,item,6
170,FEET_COVERED,5
170,clown,15
171,FEET_COVERED,12
171,clown,21
174,FEET_COVERED,46
174,clown,25
175,FEET_COVERED,1
175,clown,25
176,FEET_COVERED,6
176,clown,16
179,FEET_COVERED,16
179,clown,20
180,FEET_COVERED,11
180,clown,12
180,violence,6
182,blood,5
183,blood,1
187,blood,6
188,blood,6
190,blood,6
190,clown,5
191,clown,12
196,blood,6
202,FEMALE_BREAST_COVERED,5
202,clown,12
203,FEMALE_BREAST_COVERED,1
206,item,6
208,FEET_COVERED,5
209,FEET_COVERED,21
209,clown,6
209,item,6
214,item,6
214,violence,6
216,item,10
217,FEET_COVERED,20
217,clown,30
217,item,6
218,FEET_COVERED,27
218,clown,22
218,item,10
219,item,17
220,item,6
